Time	 FAIRTEN1	 FAIRTEN2	 FAIRTEN3	 CON2PX	 CON2PY	 CON2PZ	 
202.4	 221941	 222615	 222615	 -267	 0	 0	 
202.5	 222331	 222701	 222701	 -267	 0	 0	 
202.6	 222645	 222780	 222780	 -267	 0	 0	 
202.7	 222742	 222850	 222850	 -267	 0	 0	 
202.8	 222580	 222908	 222908	 -267	 0	 0	 
202.9	 222235	 222966	 222966	 -267	 0	 0	 
203	 221847	 223020	 223020	 -267	 0	 0	 
203.1	 221570	 223072	 223072	 -267	 0	 0	 
203.2	 221498	 223121	 223121	 -267	 0	 0	 
203.3	 221611	 223154	 223154	 -267	 0	 0	 
203.4	 221814	 223168	 223168	 -267	 0	 0	 
203.5	 221977	 223157	 223157	 -267	 0	 0	 
203.6	 222011	 223125	 223125	 -267	 0	 0	 
203.7	 221908	 223079	 223079	 -267	 0	 0	 
203.8	 221744	 223028	 223028	 -267	 0	 0	 
203.9	 221627	 222977	 222977	 -267	 0	 0	 
204	 221662	 222939	 222939	 -267	 0	 0	 
204.1	 221866	 222900	 222900	 -267	 0	 0	 
204.2	 222193	 222863	 222863	 -267	 0	 0	 
204.3	 222542	 222822	 222822	 -267	 0	 0	 
204.4	 222791	 222766	 222766	 -267	 0	 0	 
204.5	 222895	 222707	 222707	 -267	 0	 0	 
204.6	 222851	 222641	 222641	 -267	 0	 0	 
204.7	 222738	 222582	 222582	 -267	 0	 0	 
204.8	 222652	 222535	 222535	 -267	 0	 0	 
204.9	 222664	 222500	 222500	 -267	 0	 0	 
205	 222798	 222476	 222476	 -267	 0	 0	 
205.1	 223012	 222457	 222457	 -267	 0	 0	 
205.2	 223224	 222432	 222432	 -267	 0	 0	 
205.3	 223360	 222397	 222397	 -267	 0	 0	 
205.4	 223380	 222351	 222351	 -267	 0	 0	 
205.5	 223292	 222294	 222294	 -267	 0	 0	 
205.6	 223167	 222239	 222239	 -267	 0	 0	 
205.7	 223069	 222183	 222183	 -267	 0	 0	 
205.8	 223018	 222137	 222137	 -267	 0	 0	 
205.9	 223022	 222101	 222101	 -267	 0	 0	 
206	 223045	 222064	 222064	 -267	 0	 0	 
206.1	 223086	 222033	 222033	 -267	 0	 0	 
206.2	 223137	 221998	 221998	 -267	 0	 0	 
206.3	 223196	 221960	 221960	 -267	 0	 0	 
206.4	 223280	 221930	 221930	 -267	 0	 0	 
206.5	 223365	 221898	 221898	 -267	 0	 0	 
206.6	 223449	 221882	 221882	 -267	 0	 0	 
206.7	 223498	 221871	 221871	 -267	 0	 0	 
206.8	 223504	 221870	 221870	 -267	 0	 0	 
206.9	 223464	 221873	 221873	 -267	 0	 0	 
207	 223391	 221875	 221875	 -267	 0	 0	 
207.1	 223311	 221879	 221879	 -267	 0	 0	 
207.2	 223243	 221884	 221884	 -267	 0	 0	 
207.3	 222455	 221895	 221895	 -267	 0	 0	 
207.4	 222168	 221919	 221919	 -267	 0	 0	 
207.5	 221786	 221960	 221960	 -267	 0	 0	 
207.6	 222064	 222018	 222018	 -267	 0	 0	 
207.7	 222764	 222091	 222091	 -267	 0	 0	 
207.8	 223254	 222176	 222176	 -267	 0	 0	 
207.9	 223523	 222269	 222269	 -267	 0	 0	 
208	 223198	 222363	 222363	 -267	 0	 0	 
208.1	 222545	 222460	 222460	 -267	 0	 0	 
208.2	 221825	 222556	 222556	 -267	 0	 0	 
208.3	 221244	 222651	 222651	 -267	 0	 0	 
208.4	 221145	 222742	 222742	 -267	 0	 0	 
208.5	 221413	 222827	 222827	 -267	 0	 0	 
208.6	 221913	 222902	 222902	 -267	 0	 0	 
208.7	 222364	 222967	 222967	 -267	 0	 0	 
208.8	 222465	 223016	 223016	 -267	 0	 0	 
208.9	 222192	 223056	 223056	 -267	 0	 0	 
209	 221596	 223087	 223087	 -267	 0	 0	 
209.1	 220944	 223115	 223115	 -267	 0	 0	 
209.2	 220511	 223145	 223145	 -267	 0	 0	 
209.3	 220432	 223177	 223177	 -267	 0	 0	 
209.4	 220716	 223211	 223211	 -267	 0	 0	 
209.5	 221168	 223248	 223248	 -267	 0	 0	 
209.6	 221528	 223276	 223276	 -267	 0	 0	 
209.7	 221607	 223303	 223303	 -267	 0	 0	 
209.8	 221318	 223318	 223318	 -267	 0	 0	 
209.9	 220797	 223325	 223325	 -267	 0	 0	 
210	 220273	 223334	 223334	 -267	 0	 0	 
210.1	 219963	 223330	 223330	 -267	 0	 0	 
210.2	 220019	 223334	 223334	 -267	 0	 0	 
210.3	 220382	 223332	 223332	 -267	 0	 0	 
210.4	 220878	 223322	 223322	 -267	 0	 0	 
210.5	 221286	 223314	 223314	 -267	 0	 0	 
210.6	 221424	 223294	 223294	 -267	 0	 0	 
210.7	 221275	 223270	 223270	 -267	 0	 0	 
210.8	 220953	 223245	 223245	 -267	 0	 0	 
210.9	 220659	 223217	 223217	 -267	 0	 0	 
211	 220577	 223188	 223188	 -267	 0	 0	 
211.1	 220791	 223162	 223162	 -267	 0	 0	 
211.2	 221237	 223131	 223131	 -267	 0	 0	 
211.3	 221755	 223096	 223096	 -267	 0	 0	 
211.4	 222155	 223056	 223056	 -267	 0	 0	 
211.5	 222310	 223010	 223010	 -267	 0	 0	 
211.6	 222216	 222961	 222961	 -267	 0	 0	 
211.7	 221985	 222915	 222915	 -267	 0	 0	 
211.8	 221783	 222871	 222871	 -267	 0	 0	 
211.9	 221759	 222833	 222833	 -267	 0	 0	 
212	 221964	 222799	 222799	 -267	 0	 0	 
