      w1[rad/s]       w2[rad/s] beta1[deg] beta2[deg] DOF MOD(QTF)/rho/g PHASE(QTF)[deg] Re(QTF)/rho/g Im(QTF)/rho/g
       1.050        0.300        0.000        0.000  1  0.1068614E+02 -0.1503404E+03 -0.9286052E+01 -0.5287994E+01
       1.050        0.350        0.000        0.000  1  0.7696051E+01 -0.1586373E+03 -0.7167280E+01 -0.2803445E+01
       1.050        0.400        0.000        0.000  1  0.5606773E+01 -0.1746856E+03 -0.5582672E+01 -0.5193063E+00
       1.050        0.450        0.000        0.000  1  0.4500596E+01  0.1583943E+03 -0.4184384E+01  0.1657193E+01
       1.050        0.500        0.000        0.000  1  0.4547484E+01  0.1261057E+03 -0.2679728E+01  0.3674054E+01
       1.050        0.550        0.000        0.000  1  0.5424722E+01  0.9979384E+02 -0.9227641E+00  0.5345663E+01
       1.050        0.600        0.000        0.000  1  0.6555260E+01  0.8117340E+02  0.1005869E+01  0.6477628E+01
       1.050        0.650        0.000        0.000  1  0.7600250E+01  0.6777812E+02  0.2874371E+01  0.7035751E+01
       1.050        0.700        0.000        0.000  1  0.8452736E+01  0.5797214E+02  0.4482752E+01  0.7166148E+01
       1.050        0.750        0.000        0.000  1  0.9112170E+01  0.5088590E+02  0.5748565E+01  0.7070053E+01
       1.050        0.800        0.000        0.000  1  0.9592031E+01  0.4609398E+02  0.6651857E+01  0.6910849E+01
       1.050        0.850        0.000        0.000  1  0.9880332E+01  0.4365328E+02  0.7148718E+01  0.6820322E+01
       1.050        0.900        0.000        0.000  1  0.9930500E+01  0.4445559E+02  0.7088326E+01  0.6954888E+01
       1.050        0.950        0.000        0.000  1  0.9623291E+01  0.5272178E+02  0.5828693E+01  0.7657289E+01
       1.050        1.000        0.000        0.000  1  0.1195976E+02  0.1060511E+03 -0.3306801E+01  0.1149352E+02
       1.050        1.050        0.000        0.000  1  0.2178648E+02  0.0000000E+00  0.2178648E+02  0.0000000E+00
       1.100        0.250        0.000        0.000  1  0.6424394E+01 -0.1193909E+03 -0.3152873E+01 -0.5597520E+01
       1.100        0.300        0.000        0.000  1  0.4335126E+01 -0.1199711E+03 -0.2165670E+01 -0.3755421E+01
       1.100        0.350        0.000        0.000  1  0.2692168E+01 -0.1236204E+03 -0.1490620E+01 -0.2241834E+01
       1.100        0.400        0.000        0.000  1  0.1346558E+01 -0.1373871E+03 -0.9909932E+00 -0.9116750E+00
       1.100        0.450        0.000        0.000  1  0.6348816E+00  0.1517782E+03 -0.5594090E+00  0.3002268E+00
       1.100        0.500        0.000        0.000  1  0.1405080E+01  0.9428903E+02 -0.1050828E+00  0.1401145E+01
       1.100        0.550        0.000        0.000  1  0.2382874E+01  0.7992608E+02  0.4168090E+00  0.2346138E+01
       1.100        0.600        0.000        0.000  1  0.3229406E+01  0.7238287E+02  0.9773955E+00  0.3077947E+01
       1.100        0.650        0.000        0.000  1  0.3883278E+01  0.6735569E+02  0.1495098E+01  0.3583927E+01
       1.100        0.700        0.000        0.000  1  0.4340685E+01  0.6414578E+02  0.1892899E+01  0.3906211E+01
       1.100        0.750        0.000        0.000  1  0.4620613E+01  0.6265075E+02  0.2122771E+01  0.4104134E+01
       1.100        0.800        0.000        0.000  1  0.4743280E+01  0.6318035E+02  0.2140090E+01  0.4233051E+01
       1.100        0.850        0.000        0.000  1  0.4747168E+01  0.6684343E+02  0.1866800E+01  0.4364706E+01
       1.100        0.900        0.000        0.000  1  0.4767432E+01  0.7630891E+02  0.1128390E+01  0.4631970E+01
       1.100        0.950        0.000        0.000  1  0.5458886E+01  0.9778434E+02 -0.7393776E+00  0.5408582E+01
       1.100        1.000        0.000        0.000  1  0.1444649E+02  0.1372564E+03 -0.1060948E+02  0.9805102E+01
       1.100        1.050        0.000        0.000  1  0.1535023E+02 -0.1654737E+02  0.1471449E+02 -0.4371867E+01
       1.100        1.100        0.000        0.000  1  0.7254258E+01  0.0000000E+00  0.7254258E+01  0.0000000E+00
       1.150        0.250        0.000        0.000  1  0.5192688E+01 -0.9319599E+02 -0.2895007E+00 -0.5184612E+01
       1.150        0.300        0.000        0.000  1  0.3551448E+01 -0.8706509E+02  0.1818390E+00 -0.3546789E+01
       1.150        0.350        0.000        0.000  1  0.2286702E+01 -0.7750455E+02  0.4947554E+00 -0.2232537E+01
       1.150        0.400        0.000        0.000  1  0.1315801E+01 -0.5719230E+02  0.7129290E+00 -0.1105923E+01
       1.150        0.450        0.000        0.000  1  0.8947095E+00 -0.6160775E+01  0.8895423E+00 -0.9601908E-01
       1.150        0.500        0.000        0.000  1  0.1355904E+01  0.3765108E+02  0.1073531E+01  0.8282557E+00
