      w1[rad/s]       w2[rad/s] beta1[deg] beta2[deg] DOF MOD(QTF)/rho/g PHASE(QTF)[deg] Re(QTF)/rho/g Im(QTF)/rho/g
       1.000        0.300        0.000        0.000  1  0.1357510E+02 -0.1703799E+03 -0.1338420E+02 -0.2268609E+01
       1.000        0.350        0.000        0.000  1  0.8617192E+01 -0.1756984E+03 -0.8592917E+01 -0.6463522E+00
       1.000        0.400        0.000        0.000  1  0.4908578E+01  0.1665165E+03 -0.4773283E+01  0.1144513E+01
       1.000        0.450        0.000        0.000  1  0.3658794E+01  0.1217417E+03 -0.1924859E+01  0.3111542E+01
       1.000        0.500        0.000        0.000  1  0.5105825E+01  0.9134289E+02 -0.1196588E+00  0.5104423E+01
       1.000        0.550        0.000        0.000  1  0.6851455E+01  0.8439613E+02  0.6690463E+00  0.6818711E+01
       1.000        0.600        0.000        0.000  1  0.7985589E+01  0.8511353E+02  0.6802257E+00  0.7956564E+01
       1.000        0.650        0.000        0.000  1  0.8438505E+01  0.8803311E+02  0.2896254E+00  0.8433534E+01
       1.000        0.700        0.000        0.000  1  0.8422657E+01  0.9136053E+02 -0.1999844E+00  0.8420282E+01
       1.000        0.750        0.000        0.000  1  0.8235753E+01  0.9474850E+02 -0.6817733E+00  0.8207485E+01
       1.000        0.800        0.000        0.000  1  0.8163273E+01  0.9852238E+02 -0.1209764E+01  0.8073134E+01
       1.000        0.850        0.000        0.000  1  0.8471786E+01  0.1030233E+03 -0.1909097E+01  0.8253879E+01
       1.000        0.900        0.000        0.000  1  0.9498854E+01  0.1079456E+03 -0.2926735E+01  0.9036728E+01
       1.000        0.950        0.000        0.000  1  0.1201398E+02  0.1120558E+03 -0.4511364E+01  0.1113478E+02
       1.000        1.000        0.000        0.000  1  0.2194912E+02  0.1118206E+03 -0.8158526E+01  0.2037651E+02
       1.050        0.250        0.000        0.000  1  0.1627695E+02  0.1897141E+02  0.1539280E+02  0.5291576E+01
       1.050        0.300        0.000        0.000  1  0.1079660E+02  0.1039090E+02  0.1061954E+02  0.1947307E+01
       1.050        0.350        0.000        0.000  1  0.6879511E+01 -0.8960969E+01  0.6795544E+01 -0.1071564E+01
       1.050        0.400        0.000        0.000  1  0.5429183E+01 -0.4710439E+02  0.3695453E+01 -0.3977393E+01
       1.050        0.450        0.000        0.000  1  0.6946681E+01 -0.7880964E+02  0.1348137E+01 -0.6814609E+01
       1.050        0.500        0.000        0.000  1  0.9458909E+01 -0.9101413E+02 -0.1674133E+00 -0.9457427E+01
       1.050        0.550        0.000        0.000  1  0.1166260E+02 -0.9430851E+02 -0.8761746E+00 -0.1162965E+02
       1.050        0.600        0.000        0.000  1  0.1309725E+02 -0.9438850E+02 -0.1002186E+01 -0.1305885E+02
       1.050        0.650        0.000        0.000  1  0.1369357E+02 -0.9371139E+02 -0.8863950E+00 -0.1366485E+02
       1.050        0.700        0.000        0.000  1  0.1360616E+02 -0.9332420E+02 -0.7889627E+00 -0.1358326E+02
       1.050        0.750        0.000        0.000  1  0.1305210E+02 -0.9347408E+02 -0.7909179E+00 -0.1302811E+02
       1.050        0.800        0.000        0.000  1  0.1220268E+02 -0.9398099E+02 -0.8471786E+00 -0.1217324E+02
       1.050        0.850        0.000        0.000  1  0.1114770E+02 -0.9448994E+02 -0.8726879E+00 -0.1111349E+02
       1.050        0.900        0.000        0.000  1  0.9852037E+01 -0.9469353E+02 -0.8061521E+00 -0.9819000E+01
       1.050        0.950        0.000        0.000  1  0.7814006E+01 -0.9569971E+02 -0.7760459E+00 -0.7775374E+01
       1.050        1.000        0.000        0.000  1  0.3329688E+01  0.1565216E+03 -0.3054025E+01  0.1326557E+01
       1.050        1.050        0.000        0.000  1  0.2543751E+02 -0.6617638E+02  0.1027478E+02 -0.2327006E+02
       1.100        0.250        0.000        0.000  1  0.6273092E+01  0.2634983E+02  0.5621322E+01  0.2784317E+01
       1.100        0.300        0.000        0.000  1  0.4239664E+01  0.1361231E+02  0.4120574E+01  0.9978091E+00
       1.100        0.350        0.000        0.000  1  0.2932150E+01 -0.1071157E+02  0.2881058E+01 -0.5449840E+00
       1.100        0.400        0.000        0.000  1  0.2688264E+01 -0.4692083E+02  0.1836106E+01 -0.1963536E+01
       1.100        0.450        0.000        0.000  1  0.3437690E+01 -0.7303983E+02  0.1002797E+01 -0.3288177E+01
       1.100        0.500        0.000        0.000  1  0.4498856E+01 -0.8473431E+02  0.4128797E+00 -0.4479870E+01
       1.100        0.550        0.000        0.000  1  0.5441695E+01 -0.8938027E+02  0.5885796E-01 -0.5441377E+01
       1.100        0.600        0.000        0.000  1  0.6075040E+01 -0.9130143E+02 -0.1379788E+00 -0.6073472E+01
       1.100        0.650        0.000        0.000  1  0.6348854E+01 -0.9267016E+02 -0.2957690E+00 -0.6341960E+01
       1.100        0.700        0.000        0.000  1  0.6302401E+01 -0.9455175E+02 -0.5001558E+00 -0.6282524E+01
       1.100        0.750        0.000        0.000  1  0.5995676E+01 -0.9741248E+02 -0.7735118E+00 -0.5945570E+01
       1.100        0.800        0.000        0.000  1  0.5462965E+01 -0.1016735E+03 -0.1105346E+01 -0.5349971E+01
       1.100        0.850        0.000        0.000  1  0.4706576E+01 -0.1085494E+03 -0.1497265E+01 -0.4462069E+01
       1.100        0.900        0.000        0.000  1  0.3719804E+01 -0.1227753E+03 -0.2013703E+01 -0.3127610E+01
       1.100        0.950        0.000        0.000  1  0.3080891E+01 -0.1684312E+03 -0.3018302E+01 -0.6178535E+00
       1.100        1.000        0.000        0.000  1  0.1369517E+02  0.1273181E+03 -0.8302558E+01  0.1089151E+02
       1.100        1.050        0.000        0.000  1  0.2035166E+02 -0.6161802E+02  0.9674109E+01 -0.1790535E+02
       1.100        1.100        0.000        0.000  1  0.1104943E+02 -0.6108271E+02  0.5342913E+01 -0.9671771E+01
       1.150        0.250        0.000        0.000  1  0.5353144E+01  0.3522677E+02  0.4372852E+01  0.3087769E+01
       1.150        0.300        0.000        0.000  1  0.3955395E+01  0.2260369E+02  0.3651563E+01  0.1520275E+01
       1.150        0.350        0.000        0.000  1  0.3029636E+01  0.3944374E+01  0.3022460E+01  0.2084025E+00
       1.150        0.400        0.000        0.000  1  0.2635176E+01 -0.2125673E+02  0.2455892E+01 -0.9553767E+00
       1.150        0.450        0.000        0.000  1  0.2803732E+01 -0.4548246E+02  0.1965774E+01 -0.1999162E+01
       1.150        0.500        0.000        0.000  1  0.3298584E+01 -0.6159776E+02  0.1569000E+01 -0.2901534E+01
       1.150        0.550        0.000        0.000  1  0.3817155E+01 -0.7082023E+02  0.1254062E+01 -0.3605274E+01
       1.150        0.600        0.000        0.000  1  0.4168608E+01 -0.7658220E+02  0.9673261E+00 -0.4054821E+01
       1.150        0.650        0.000        0.000  1  0.4282611E+01 -0.8141358E+02  0.6393976E+00 -0.4234611E+01
       1.150        0.700        0.000        0.000  1  0.4170013E+01 -0.8682011E+02  0.2313149E+00 -0.4163592E+01
       1.150        0.750        0.000        0.000  1  0.3859359E+01 -0.9375690E+02 -0.2528778E+00 -0.3851065E+01
